1,Babar Azam,Pakistan,795
2,Rohit Sharma,India,765
3,Shubman Gill,India,763
4,Virat Kohli,India,746
5,Heinrich Klaasen,South Africa,743
6,Harry Tector,Ireland,737
7,Daryl Mitchell,New Zealand,706
8,Rahmanullah Gurbaz,Afghanistan,672
8,Shai Hope,West Indies,672
10,Pathum Nissanka,Sri Lanka,671
11,Charith Asalanka,Sri Lanka,660
12,Shreyas Iyer,India,658
13,Travis Head,Australia,657
14,KL Rahul,India,644
15,Rassie van der Dussen,South Africa,629
